dra_id,dra_title,dra_year,dra_time,drama_url
23,The Uncanny Counter,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BOTk5NmIxNTgtNWRjYS00OWQ4LTlhOTctOGU0NzlkODQ3Zjg2XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
24,D.P.,2021,50 min.,"https://m.media-amazon.com/images/M/MV5BNDc3MDM4YjktOGE4NS00OGU4LWEwNWItY2RjMGE4N2YzOGVmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
25,Kingdom,2019,51 min.,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_SX101_CR0,0,101,150_.jpg"
26,The Penthouse,2020,1 hr. 25 min.,"https://m.media-amazon.com/images/M/MV5BNmQwMWRkMzMtZDNhMC00NWRiLWI3ZTktMjIyZDY1MGYwODg4XkEyXkFqcGdeQXVyNTA0NDMwMTU@._V1_SY150_CR2,0,101,150_.jpg"
27,Weightlifting Fairy Kim Bok Joo,2016,60 min.,"https://m.media-amazon.com/images/M/MV5BOTMwNTc0NDYtOWY2Yi00Y2QyLWFiODYtYzBmY2FlYjE4NjJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR0,0,101,150_.jpg"
28,The Devil Judge,2021,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BYTM0MGQ3ZGYtYTg0NC00NTljLTkyNDgtNWRhZmQwMjY3ZjllXkEyXkFqcGdeQXVyNDYzNDg2MTM@._V1_SY150_CR2,0,101,150_.jpg"
29,Life on Mars,2018,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BZTY4Zjg2YzQtNGNjNC00YjdhLWE3OTMtYTM3YjRmNjBkZDE0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY150_CR0,0,101,150_.jpg"
30,The Penthouse 2,2021,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BM2Q4NjY2ZWEtNmJmMi00YTczLTgwMGYtYzhkMzI2ODBlMTZjXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
31,Beyond Evil,2021,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BMDYzMjFkZDYtYzYxMy00YjZkLThiMmQtYjhiM2M1MzdiMzU5XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR1,0,101,150_.jpg"
32,Taxi Driver,2021,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg"
33,Six Flying Dragons,2015,60 min.,"https://m.media-amazon.com/images/M/MV5BZTUxZWRlZDQtY2Y2My00NjM2LWJiNzQtOTZjNGFmZDM5NWFlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX101_CR0,0,101,150_.jpg"
34,The Guest,2018,1 hr. 7 min.,"https://m.media-amazon.com/images/M/MV5BNzQzNTZlNzUtZTgxYS00YTZjLWJlODItYmEyZDZkMDgwZWQ4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_QL75_UY148_CR2,0,100,148_.jpg"
35,Racket Boys,2021,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BODMyMTNhNDEtNjljNy00Zjc1LThmMzUtZTdjODkzMDYzM2QyXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
36,Youth of May,2021,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BYTYzMTMzMDItNThlYS00ZmVhLTk0NDQtZTk1MDYyNmVjODdmXkEyXkFqcGdeQXVyNDU4MDQ0MjM@._V1_SX101_CR0,0,101,150_.jpg"
37,Mouse,2021,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BMWFhN2M4MzAtOGUxYi00YzVhLWI0NDUtMzQ0MTFjMGU2NGIwXkEyXkFqcGdeQXVyNDU4MDQ0MjM@._V1_SY150_CR2,0,101,150_.jpg"
38,Sweet Home,2020,52 min.,"https://m.media-amazon.com/images/M/MV5BMDlkMzZiM2EtZDMxZC00ZWUwLTliMDMtMGMzMzE3NTEzMThiXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR9,0,101,150_.jpg"
39,18 Again,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BN2JhYjMyN2YtM2FjMC00YjI1LWE4M2EtNmY2MjI0ZGZmY2M4XkEyXkFqcGdeQXVyNDU4MDQ0MjM@._V1_SX101_CR0,0,101,150_.jpg"
40,Chicago Typewriter,2017,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BNGIyYjM2YjktZTliMi00YzQ4LThkZDctYzY5NDVhMjgwZjA0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR1,0,101,150_.jpg"
41,Defendant,2017,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BYWFlYjQzZjQtOTE4Ni00NWI0LTg4ZTMtNzQyMjMzMmNhYzFlXkEyXkFqcGdeQXVyMTE2MDU0NzAw._V1_SY150_CR6,0,101,150_.jpg"
42,While You Were Sleeping,2017,30 min.,"https://m.media-amazon.com/images/M/MV5BMGI5OGRiNTgtYzdkNS00N2E1LTgxMmQtYTQyNjk4YmEyM2IzXkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_SX101_CR0,0,101,150_.jpg"
43,Dear My Friends,2016,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BZjVjOGI0ZGEtYzQ2YS00NTFmLTg4MGMtM2ViYTRiNThhMDZiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
44,Dr. Romantic 2,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BYmMyMTRjNzktODQwYS00YzUxLThiMWEtY2UwNWE5Y2E3NDcxXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX101_CR0,0,101,150_.jpg"
45,"Kill Me, Heal Me",2015,1 hr. 2 min.,"https://m.media-amazon.com/images/M/MV5BNzdjMmM2Y2EtN2JhYi00ZmQ4LWJlZWYtMzRjNWQ5ZGU4ZTEwXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX101_CR0,0,101,150_.jpg"
