,Ac_Name,Date_Birth,BPlace,Img,Active_Year,info,WikiLink
20,Cho Byeong Kyu,1988,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Jo_Byung-gyu_in_2021.png/220px-Jo_Byung-gyu_in_2021.png,2015–present,"[' (1996-04-23) April 23, 1996 (age\xa026)Seoul, South Korea', '\nJo Byung-gyu\nCho Byeong-kyu\n', 'Seoul Institute of the Arts', 'Actor', '2015–present', 'HB Entertainment[1]', '조병규', 'Jo Byeong-gyu', 'Cho Pyŏnggyu']",https://en.wikipedia.org/wiki/Cho_Byeong-kyu
21,Jung Hae In,1978,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Jung_Hae-in_%EC%A0%95%ED%95%B4%EC%9D%B8_in_October_2022.jpg/220px-Jung_Hae-in_%EC%A0%95%ED%95%B4%EC%9D%B8_in_October_2022.jpg,FNC Entertainment,"[' (1988-04-01) April 1, 1988 (age\xa034)Seoul, South Korea', 'Pyeongtaek University', 'Actor, model', '2013–present', 'FNC Entertainment', '1.78\xa0m (5\xa0ft 10\xa0in)[1]', '정해인', '丁海寅', 'Jeong Hae-in', 'Chŏng Hae-in']",https://en.wikipedia.org/wiki/Jung_Hae-in
22,Lee Ji Ah,1990,"Goyang, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/210630_%EC%9D%B4%EC%A7%80%EC%95%84.jpg/250px-210630_%EC%9D%B4%EC%A7%80%EC%95%84.jpg,BH Entertainment,"['Kim Sang-eun (1978-08-06) August 6, 1978 (age\xa044)[1]South Korea', 'Kim Ji-ah  E Ji-ah', 'Actress', '2007–present', 'BH Entertainment', 'Seo Taiji\n\u200b \u200b(m.\xa01997; div.\xa02006)\u200b', '이지아', '李智雅', 'I Ji-a', 'I Chia', '김상은', 'Gim Sang-eun', 'Kim Sangŭn']",https://en.wikipedia.org/wiki/Lee_Ji-ah
23,Lee Sung Kyung,1977,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/%EC%9D%B4%EC%84%B1%EA%B2%BD_Lee_Sung-kyung_in_2022.jpg/250px-%EC%9D%B4%EC%84%B1%EA%B2%BD_Lee_Sung-kyung_in_2022.jpg,2008–present,"[' (1990-08-10) August 10, 1990 (age\xa032)Goyang, Gyeonggi, South Korea', 'Lee Sung-kyoungBiblee', ""Dongduk Women's University"", 'Modelactresssinger', '2008–present', 'YG', '175\xa0cm (5\xa0ft 9\xa0in)[1]', 'Full list', '이성경', '李聖經', 'I Seong-gyeong', 'I Sŏnggyŏng']",https://en.wikipedia.org/wiki/Lee_Sung-kyung
24,Ji Sung,1980,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/180212_%EC%A7%80%EC%84%B1.png/220px-180212_%EC%A7%80%EC%84%B1.png,Lee Bo-young ​(m. 2013)​,"['Kwak Tae-geun (1977-02-27) 27 February 1977 (age\xa045)Seoul, South Korea', 'Hanyang University - Theater and Film', '1999–present', 'Surpass Entertainment', 'Lee Bo-young \u200b(m.\xa02013)\u200b', '2', '지성', '池晟 / 地成', 'Ji Seong', 'Chi Sǒng', '곽태근', '郭太根', 'Gwak Tae-geun', 'Kwak T’aegŭn']",https://en.wikipedia.org/wiki/Ji_Sung
25,Jung Kyung Ho,1974,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,,[],https://en.wikipedia.org/wiki/Jung_Kyung-ho
26,Kim So Yeon,1986,"Daegu, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,J Wide Company,"[' (1980-11-02) November 2, 1980 (age\xa042)Seoul, South Korea', 'Dongguk University (Theater and Film)', 'Actress', '1994–present', 'J Wide Company', 'Lee Sang-woo \u200b(m.\xa02017)\u200b', '김소연', '金素姸', 'Gim So-yeon', 'Kim Soyŏn']",https://en.wikipedia.org/wiki/Kim_So-yeon
27,Shin Ha Kyun,1983,"Chuncheon, Gangwon, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Shin_Ha-kyun_in_Mar_2021.jpg/220px-Shin_Ha-kyun_in_Mar_2021.jpg,Hodoo,"[' (1974-05-30) May 30, 1974 (age\xa048)Seoul, South Korea', 'Seoul Institute of the Arts', 'Actor', '1998–present', 'Hodoo', '신하균', '申河均', 'Sin Ha-gyun', 'Sin Hagyun']",https://en.wikipedia.org/wiki/Shin_Ha-kyun
28,Yoo Ah In,1972,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Yoo_Ah-In_%EC%9C%A0%EC%95%84%EC%9D%B8_20181206.jpg/220px-Yoo_Ah-In_%EC%9C%A0%EC%95%84%EC%9D%B8_20181206.jpg,유아인,"['Uhm Hong-sik (1986-10-06) October 6, 1986 (age\xa036)Daegu, South Korea', '\nActor\ncreative director\ngallerist\n', '2003–present', 'StarK[1] United Artists Agency[2]', '유아인', '劉亞仁', 'Yu A-in', 'Yu Ain', '엄홍식', '嚴弘植', 'Eom Hong-sik', 'Om Hongsik']",https://en.wikipedia.org/wiki/Yoo_Ah-in
29,Kim Dong Wook,1995,"Seoul, South Korea[1]",//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/181206_%EA%B9%80%EB%8F%99%EC%9A%B1.jpg/220px-181206_%EA%B9%80%EB%8F%99%EC%9A%B1.jpg,2004–present,"[' (1983-07-29) July 29, 1983 (age\xa039)Chuncheon, Gangwon, South Korea', 'South Korea', 'Korea National University of Arts – School of Drama[1]', 'Actor', '2004–present', 'KeyEast[2]', '175\xa0cm (5\xa0ft 9\xa0in)', '김동욱', 'Gim Dong-uk', 'Kim Tong-uk']",https://en.wikipedia.org/wiki/Kim_Dong-wook
