mov_id,movie_title,movie_year,dra_time,Cast,Genre,drama_url
15,Crash Landing on You,2019,1 hr. 25 min.,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young","Military,  Comedy,  Romance,  Political ","https://m.media-amazon.com/images/M/MV5BMzRiZWUyN2YtNDI4YS00NTg2LTg0OTgtMGI2ZjU4ODQ4Yjk3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SY150_CR2,0,101,150_.jpg"
16,SKY Castle,2018,1 hr. 15 min.,"Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho","Mystery,  Psychological,  Drama,  Family ","https://m.media-amazon.com/images/M/MV5BNDFhZmY2NTgtMzljYy00MTlhLTgyMjItNTEwZWJkYThhYzkyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX101_CR0,0,101,150_.jpg"
17,Kingdom,2020,45 min.,"Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho","Thriller,  Historical,  Horror,  Supernatural ","https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_SX101_CR0,0,101,150_.jpg"
18,Mr. Sunshine,2018,1 hr. 20 min.,"Lee Byung Hun, Kim Tae Ri, Kim Min Jung, Yoo Yeon Seok, Byun Yo Han, Kim Gab Soo","Military,  Historical,  Romance,  Melodrama ","https://m.media-amazon.com/images/M/MV5BOWU3MjlmODAtZGU5NS00NmFjLTg1NmItNjU3MjQ5MmM1YWJjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX101_CR0,0,101,150_.jpg"
19,Healer,2014,60 min.,"Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won","Action,  Thriller,  Mystery,  Romance ","https://m.media-amazon.com/images/M/MV5BZGE3NGI4ZDQtNzJjOC00Y2ZjLTgxNGItNzhmZjU4YWM0ZmI4XkEyXkFqcGdeQXVyNjUyNzU5NzA@._V1_SY150_CR2,0,101,150_.jpg"
20,Stranger,2017,1 hr. 10 min.,"Jo Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong","Thriller,  Mystery,  Law,  Drama ","https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY150_CR9,0,101,150_.jpg"
21,Goblin,2016,1 hr. 22 min.,"Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El","Comedy,  Romance,  Fantasy,  Melodrama ","https://m.media-amazon.com/images/M/MV5BN2U2OWQ5YTUtZTRlYS00M2I2LTk3MzEtNTQ0OTNiNGY3ZTc3XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX101_CR0,0,101,150_.jpg"
22,Hometown Cha-Cha-Cha,2021,1 hr. 20 min.,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Jo Han Chul, Lee Bong Ryun","Comedy,  Romance,  Life ","https://m.media-amazon.com/images/M/MV5BM2U3N2E5N2QtZDM1OC00N2QxLThjOTgtZmQ0OWRiYTUwZTAyXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
23,The Uncanny Counter,2020,1 hr. 10 min.,"Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae","Action,  Mystery,  Drama,  Supernatural ","https://m.media-amazon.com/images/M/MV5BOTk5NmIxNTgtNWRjYS00OWQ4LTlhOTctOGU0NzlkODQ3Zjg2XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
24,D.P.,2021,50 min.,"Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul","Action,  Military,  Comedy,  Drama ","https://m.media-amazon.com/images/M/MV5BNDc3MDM4YjktOGE4NS00OGU4LWEwNWItY2RjMGE4N2YzOGVmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
25,Kingdom,2019,51 min.,"Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho","Thriller,  Historical,  Horror,  Political ","https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_SX101_CR0,0,101,150_.jpg"
26,The Penthouse,2020,1 hr. 25 min.,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung","Thriller,  Mystery,  Drama,  Family ","https://m.media-amazon.com/images/M/MV5BNmQwMWRkMzMtZDNhMC00NWRiLWI3ZTktMjIyZDY1MGYwODg4XkEyXkFqcGdeQXVyNTA0NDMwMTU@._V1_SY150_CR2,0,101,150_.jpg"
27,Weightlifting Fairy Kim Bok Joo,2016,60 min.,"Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young","Comedy,  Romance,  Youth,  Sports ","https://m.media-amazon.com/images/M/MV5BOTMwNTc0NDYtOWY2Yi00Y2QyLWFiODYtYzBmY2FlYjE4NjJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR0,0,101,150_.jpg"
28,The Devil Judge,2021,1 hr. 10 min.,"Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung","Mystery,  Law,  Crime,  Drama ","https://m.media-amazon.com/images/M/MV5BYTM0MGQ3ZGYtYTg0NC00NTljLTkyNDgtNWRhZmQwMjY3ZjllXkEyXkFqcGdeQXVyNDYzNDg2MTM@._V1_SY150_CR2,0,101,150_.jpg"
29,Life on Mars,2018,1 hr. 5 min.,"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho","Action,  Mystery,  Comedy,  Supernatural ","https://m.media-amazon.com/images/M/MV5BZTY4Zjg2YzQtNGNjNC00YjdhLWE3OTMtYTM3YjRmNjBkZDE0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY150_CR0,0,101,150_.jpg"
30,The Penthouse 2,2021,1 hr. 15 min.,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung","Thriller,  Mystery,  Drama,  Family ","https://m.media-amazon.com/images/M/MV5BM2Q4NjY2ZWEtNmJmMi00YTczLTgwMGYtYzhkMzI2ODBlMTZjXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
31,Beyond Evil,2021,1 hr. 5 min.,"Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho","Thriller,  Mystery,  Psychological,  Drama ","https://m.media-amazon.com/images/M/MV5BMDYzMjFkZDYtYzYxMy00YjZkLThiMmQtYjhiM2M1MzdiMzU5XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR1,0,101,150_.jpg"
32,Taxi Driver,2021,1 hr. 5 min.,"Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin","Action,  Thriller,  Mystery,  Drama ","https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg"
